StudentID,Age,Gender,Subject,HoursStudied,StudyMethod,AttendanceRate,PreviousGrade,FinalExamScore,Passed
Student_0001,18.0,Male,Science,18.6,Tutoring,60.6,,82.0,Yes
Student_0002,17.0,Male,English,4.1,Solo Study,,,66.0,Yes
Student_0003,18.0,Female,History,,Solo Study,91.6,94.0,100.0,
Student_0004,18.0,Female,Math,2.9,,93.5,71.0,64.0,
Student_0005,18.0,Female,English,1.6,Tutoring,91.3,,61.0,
Student_0006,16.0,Female,History,,Online Courses,63.4,89.0,59.0,No
Student_0007,15.0,Male,Math,6.1,Online Courses,88.5,90.0,,
Student_0008,17.0,Female,English,3.0,Group Study,97.7,78.0,63.0,Yes
Student_0009,16.0,Male,Science,2.7,Online Courses,,85.0,63.0,
Student_0010,14.0,,Math,7.7,Group Study,83.9,100.0,77.0,
Student_0011,17.0,Male,,8.9,Group Study,,,86.0,Yes
Student_0012,15.0,Male,,4.2,,72.0,81.0,55.0,No
Student_0013,15.0,Female,English,9.0,Online Courses,91.3,73.0,69.0,Yes
Student_0014,,Female,Art,12.7,Online Courses,64.3,69.0,62.0,Yes
Student_0015,17.0,Female,,8.2,Tutoring,77.6,77.0,76.0,Yes
Student_0016,18.0,Male,English,7.1,Solo Study,79.2,61.0,71.0,Yes
Student_0017,16.0,Female,History,19.4,Solo Study,73.0,67.0,93.0,Yes
Student_0018,17.0,Female,Math,18.7,Solo Study,83.7,84.0,89.0,
Student_0019,,Male,History,18.9,,77.5,68.0,94.0,
Student_0020,14.0,Female,History,3.6,Tutoring,69.7,92.0,57.0,
Student_0021,17.0,Female,Math,9.5,Online Courses,83.3,84.0,77.0,Yes
Student_0022,17.0,,English,,,64.4,65.0,77.0,Yes
Student_0023,16.0,,Art,1.8,Online Courses,98.7,71.0,70.0,Yes
Student_0024,17.0,Male,,2.9,Solo Study,80.4,,,
Student_0025,18.0,Male,History,8.1,Online Courses,90.9,87.0,82.0,Yes
Student_0026,15.0,Female,Math,,,76.6,55.0,57.0,No
Student_0027,15.0,Female,English,,Solo Study,80.8,72.0,67.0,
